-0.680910+I*0.000000 0.676522+I*0.000000 2.287760+I*0.000000 3.215011+I*0.000000 4.271432+I*0.000000 5.415049+I*0.000000 6.630161+I*0.000000 6.657200+I*0.000000
-0.694655+I*0.000000 0.690195+I*0.000000 2.269866+I*0.000000 3.176254+I*0.000000 4.206130+I*0.000000 5.323009+I*0.000000 6.540709+I*0.000000 6.553498+I*0.000000
-0.708400+I*0.000000 0.703869+I*0.000000 2.252441+I*0.000000 3.139302+I*0.000000 4.143674+I*0.000000 5.234859+I*0.000000 6.432399+I*0.000000 6.477121+I*0.000000
-0.722153+I*0.000000 0.717526+I*0.000000 2.235031+I*0.000000 3.104691+I*0.000000 4.083425+I*0.000000 5.150720+I*0.000000 6.327671+I*0.000000 6.405063+I*0.000000
-0.735889+I*0.000000 0.731215+I*0.000000 2.218777+I*0.000000 3.070418+I*0.000000 4.026596+I*0.000000 5.069423+I*0.000000 6.227551+I*0.000000 6.336087+I*0.000000
-0.749630+I*0.000000 0.744896+I*0.000000 2.202531+I*0.000000 3.038156+I*0.000000 3.971816+I*0.000000 4.991633+I*0.000000 6.131501+I*0.000000 6.270106+I*0.000000
-0.763372+I*0.000000 0.758573+I*0.000000 2.186551+I*0.000000 3.007344+I*0.000000 3.919231+I*0.000000 4.917006+I*0.000000 6.039383+I*0.000000 6.206910+I*0.000000
-0.777120+I*0.000000 0.772237+I*0.000000 2.170431+I*0.000000 2.978490+I*0.000000 3.868315+I*0.000000 4.845665+I*0.000000 5.950883+I*0.000000 6.146383+I*0.000000
-0.790856+I*0.000000 0.785926+I*0.000000 2.155341+I*0.000000 2.949605+I*0.000000 3.820310+I*0.000000 4.776495+I*0.000000 5.866237+I*0.000000 6.088219+I*0.000000
-0.804595+I*0.000000 0.799607+I*0.000000 2.140119+I*0.000000 2.922410+I*0.000000 3.773864+I*0.000000 4.710232+I*0.000000 5.784893+I*0.000000 6.032420+I*0.000000
-0.818334+I*0.000000 0.813288+I*0.000000 2.125077+I*0.000000 2.896308+I*0.000000 3.729227+I*0.000000 4.646512+I*0.000000 5.706789+I*0.000000 5.978826+I*0.000000
-0.832078+I*0.000000 0.826959+I*0.000000 2.109790+I*0.000000 2.871860+I*0.000000 3.685851+I*0.000000 4.585553+I*0.000000 5.631619+I*0.000000 5.927373+I*0.000000
-0.845813+I*0.000000 0.840648+I*0.000000 2.095420+I*0.000000 2.847140+I*0.000000 3.644967+I*0.000000 4.526284+I*0.000000 5.559663+I*0.000000 5.877813+I*0.000000
-0.859550+I*0.000000 0.854331+I*0.000000 2.080846+I*0.000000 2.823821+I*0.000000 3.605307+I*0.000000 4.469451+I*0.000000 5.490419+I*0.000000 5.830158+I*0.000000
-0.873287+I*0.000000 0.868013+I*0.000000 2.066371+I*0.000000 2.801351+I*0.000000 3.567113+I*0.000000 4.414739+I*0.000000 5.423852+I*0.000000 5.784288+I*0.000000
-0.887027+I*0.000000 0.881689+I*0.000000 2.051622+I*0.000000 2.780235+I*0.000000 3.529929+I*0.000000 4.362346+I*0.000000 5.359717+I*0.000000 5.740153+I*0.000000
-0.900760+I*0.000000 0.895378+I*0.000000 2.037676+I*0.000000 2.758715+I*0.000000 3.494866+I*0.000000 4.311311+I*0.000000 5.298288+I*0.000000 5.697557+I*0.000000
-0.914495+I*0.000000 0.909063+I*0.000000 2.023495+I*0.000000 2.738343+I*0.000000 3.460782+I*0.000000 4.262347+I*0.000000 5.239114+I*0.000000 5.656517+I*0.000000
-0.928230+I*0.000000 0.922748+I*0.000000 2.009366+I*0.000000 2.718614+I*0.000000 3.427909+I*0.000000 4.215173+I*0.000000 5.182185+I*0.000000 5.616938+I*0.000000
-0.941964+I*0.000000 0.936433+I*0.000000 1.995294+I*0.000000 2.699461+I*0.000000 3.396212+I*0.000000 4.169704+I*0.000000 5.127414+I*0.000000 5.578749+I*0.000000
-0.955698+I*0.000000 0.950117+I*0.000000 1.981243+I*0.000000 2.680888+I*0.000000 3.365595+I*0.000000 4.125913+I*0.000000 5.074694+I*0.000000 5.541893+I*0.000000
-0.969431+I*0.000000 0.963804+I*0.000000 1.967293+I*0.000000 2.662715+I*0.000000 3.336138+I*0.000000 4.083623+I*0.000000 5.023998+I*0.000000 5.506288+I*0.000000
-0.983163+I*0.000000 0.977491+I*0.000000 1.953367+I*0.000000 2.645019+I*0.000000 3.307689+I*0.000000 4.042868+I*0.000000 4.975204+I*0.000000 5.471891+I*0.000000
-0.996895+I*0.000000 0.991178+I*0.000000 1.939474+I*0.000000 2.627745+I*0.000000 3.280223+I*0.000000 4.003578+I*0.000000 4.928242+I*0.000000 5.438646+I*0.000000
-1.010626+I*0.000000 1.004865+I*0.000000 1.925611+I*0.000000 2.610854+I*0.000000 3.253699+I*0.000000 3.965698+I*0.000000 4.883044+I*0.000000 5.406503+I*0.000000
-1.024357+I*0.000000 1.018553+I*0.000000 1.911767+I*0.000000 2.594329+I*0.000000 3.228065+I*0.000000 3.929192+I*0.000000 4.839536+I*0.000000 5.375416+I*0.000000
-1.038087+I*0.000000 1.032242+I*0.000000 1.897961+I*0.000000 2.578106+I*0.000000 3.203316+I*0.000000 3.893980+I*0.000000 4.797671+I*0.000000 5.345330+I*0.000000
-1.051817+I*0.000000 1.045931+I*0.000000 1.884173+I*0.000000 2.562182+I*0.000000 3.179389+I*0.000000 3.860044+I*0.000000 4.757376+I*0.000000 5.316208+I*0.000000
-1.065546+I*0.000000 1.059620+I*0.000000 1.870403+I*0.000000 2.546531+I*0.000000 3.156252+I*0.000000 3.827338+I*0.000000 4.718594+I*0.000000 5.288010+I*0.000000
-1.079274+I*0.000000 1.073310+I*0.000000 1.856650+I*0.000000 2.531128+I*0.000000 3.133871+I*0.000000 3.795823+I*0.000000 4.681271+I*0.000000 5.260696+I*0.000000
-1.093003+I*0.000000 1.087000+I*0.000000 1.842909+I*0.000000 2.515955+I*0.000000 3.112210+I*0.000000 3.765467+I*0.000000 4.645350+I*0.000000 5.234231+I*0.000000
-1.106730+I*0.000000 1.100691+I*0.000000 1.829187+I*0.000000 2.500982+I*0.000000 3.091248+I*0.000000 3.736219+I*0.000000 4.610789+I*0.000000 5.208577+I*0.000000
-1.120457+I*0.000000 1.114382+I*0.000000 1.815476+I*0.000000 2.486199+I*0.000000 3.070946+I*0.000000 3.708055+I*0.000000 4.577535+I*0.000000 5.183703+I*0.000000
-1.134183+I*0.000000 1.128074+I*0.000000 1.801776+I*0.000000 2.471588+I*0.000000 3.051278+I*0.000000 3.680942+I*0.000000 4.545542+I*0.000000 5.159577+I*0.000000
-1.147909+I*0.000000 1.141766+I*0.000000 1.788087+I*0.000000 2.457134+I*0.000000 3.032214+I*0.000000 3.654846+I*0.000000 4.514766+I*0.000000 5.136171+I*0.000000
-1.161634+I*0.000000 1.155458+I*0.000000 1.774407+I*0.000000 2.442827+I*0.000000 3.013726+I*0.000000 3.629739+I*0.000000 4.485165+I*0.000000 5.113456+I*0.000000
-1.175359+I*0.000000 1.169151+I*0.000000 1.760739+I*0.000000 2.428648+I*0.000000 2.995793+I*0.000000 3.605586+I*0.000000 4.456701+I*0.000000 5.091404+I*0.000000
-1.189083+I*0.000000 1.182845+I*0.000000 1.747080+I*0.000000 2.414591+I*0.000000 2.978388+I*0.000000 3.582363+I*0.000000 4.429333+I*0.000000 5.069990+I*0.000000
-1.202807+I*0.000000 1.196538+I*0.000000 1.733430+I*0.000000 2.400647+I*0.000000 2.961486+I*0.000000 3.560039+I*0.000000 4.403026+I*0.000000 5.049190+I*0.000000
